tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_4gfhb7r8c3,All | Matching Sets | 5.30.24,ONE_TIME,COMPLETED,1717132471000.0,10313.0,7652.0,3465.0,66.0,3.0,1867.68,1.0,1496.93
bmc_nvh5gbynm2,All | New USA! | 5.14.24 (Copy 1),ONE_TIME,COMPLETED,1716605765000.0,344.0,72.0,48.0,4.0,0.0,0.0,0.0,0.0
bmc_6r8pheh4p6,Review Request (Copy 1),ONE_TIME,COMPLETED,1716352619000.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0
bmc_j6jjwa3a6e,All | New USA! | 5.14.24,ONE_TIME,COMPLETED,1715749757000.0,10044.0,7229.0,3121.0,67.0,1.0,293.79,0.0,0.0
bmc_myt5nmr3y3,NEW Swim RESEND | 5.8.24 ,ONE_TIME,COMPLETED,1715222756000.0,4429.0,4041.0,602.0,21.0,0.0,0.0,0.0,0.0
bmc_g27v8wdcq2,NEW Swim | 5.6.24,ONE_TIME,COMPLETED,1715049034000.0,9830.0,7218.0,3192.0,97.0,1.0,179.91,0.0,0.0
bmc_y3n8qx7v7e,Gifts for Him | 5.9.24,ONE_TIME,COMPLETED,1715317497000.0,372.0,86.0,47.0,1.0,1.0,293.79,0.0,0.0
bmc_5dh7qa37mc,Review Request,ONE_TIME,COMPLETED,1714504507000.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmc_auedknvcud,"USA, USA, USA! | 4.29.24",ONE_TIME,COMPLETED,1714444246000.0,9832.0,7130.0,3026.0,89.0,1.0,209.93,0.0,0.0
bmc_mdtta5yxdb,We're Shinesty | Menswear Outreach | 4.24.24,ONE_TIME,COMPLETED,1713967200000.0,166.0,120.0,46.0,2.0,0.0,0.0,0.0,0.0
bmc_hj9mhjpjhs,Western Wear Store Collection | 4.17.24,ONE_TIME,COMPLETED,1713411931000.0,133.0,108.0,42.0,2.0,0.0,0.0,0.0,0.0
bmc_y3549x39mh,For Her Collection | 4.11.24,ONE_TIME,COMPLETED,1712889017000.0,227.0,102.0,64.0,7.0,2.0,370.36,0.0,0.0
bmc_97p7drk2r2,Derby Day Resend -  Non-Openers | 3.31.24 ,ONE_TIME,COMPLETED,1712343862000.0,259.0,173.0,31.0,3.0,0.0,0.0,0.0,0.0
bmc_efk7n87mmx,Derby Day | 3.31.24,ONE_TIME,COMPLETED,1711947024000.0,738.0,523.0,261.0,11.0,2.0,755.46,0.0,0.0
bmc_62jpf5dkh6,Derby Day | 3.31.24 (Copy 1),ONE_TIME,DRAFT,,,,,,,,,
bmc_m57rrh4q7x,Untitled campaign 3,ONE_TIME,COMPLETED,1711807200000.0,54.0,39.0,20.0,1.0,0.0,0.0,0.0,0.0
bmc_fq4x25c4vb,Abandon Cart 60+ Days | 3.28.24,ONE_TIME,COMPLETED,1711636260000.0,11.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
bmc_9uq7gz4v6t,BH Spring Men's Collection | 3.21.24,ONE_TIME,COMPLETED,1711064120000.0,8823.0,6018.0,2807.0,90.0,1.0,559.6,0.0,0.0
bmc_z6mj7dk2ec,Test to Prospects on Faire Already,ONE_TIME,COMPLETED,1700385765000.0,3033.0,2077.0,1125.0,51.0,1.0,489.65,1.0,489.65
bmc_73e3hy38pf,Review Request | 3.26.24,ONE_TIME,COMPLETED,1711461600000.0,18.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0
bmc_ygn7rpkgsz,New to Faire - Duplicate Draft,ONE_TIME,DRAFT,,,,,,,,,
bmc_jvzgjmcaap,Untitled campaign 1,ONE_TIME,COMPLETED,1700056800000.0,586.0,334.0,156.0,5.0,0.0,0.0,0.0,0.0
